side,lo_widths,hi_widths,cells,mean_N,standard_deviation_N,minimum_N,maximum_N,surface_bulk_mean_N,surface_gradient_mean_N,gb_bulk_mean_N,gb_gradient_mean_N,constraint_mean_N
-1,2.0,3.0,8,3.2217069323580704e-07,3.1149795993734356e-12,3.2216573848068223e-07,3.2217522580298224e-07,3.4394066053475054e-07,3.2270894033314793e-07,2.0592092080049535e-16,-7.849322377498445e-25,-3.4447890783801234e-07
-1,3.0,4.0,8,3.2215861322215103e-07,3.716568883608377e-12,3.22152864480183e-07,3.2216419605012195e-07,3.4840885538756507e-07,3.267432922499298e-07,4.848222869868147e-21,-4.375662256850884e-34,-3.529935344153487e-07
-1,4.0,5.0,8,3.221452613082653e-07,3.918055812346175e-12,3.2213924878109707e-07,3.2215120154843565e-07,3.5257081233003116e-07,3.3101577709652977e-07,1.47709953030994e-28,2.0892748302319174e-46,-3.614413281182957e-07
-1,5.0,6.0,8,3.221314779025282e-07,3.9888857844092566e-12,3.221253838330412e-07,3.2213754948837363e-07,3.5657026111077086e-07,3.3539372334122235e-07,0.0,0.0,-3.6983250654946493e-07
-1,6.0,8.0,16,3.2211062541301656e-07,7.996556303225008e-12,3.220976588892545e-07,3.221236624920886e-07,3.6224219680468677e-07,3.4201196374594714e-07,0.0,0.0,-3.821435351376173e-07
-1,8.0,10.0,16,3.2208338020553515e-07,7.667895521885365e-12,3.2207101254731356e-07,3.2209596817938897e-07,3.691584113748647e-07,3.5066670608321645e-07,0.0,0.0,-3.9774173725254596e-07
1,2.0,3.0,8,-2.6703704582407226e-08,1.1186529240150124e-12,-2.6704905374834737e-08,-2.6701410436895174e-08,3.578241538408468e-07,3.271386880732653e-07,1.204581649067875e-15,-2.6083576970849823e-23,-7.116665477011009e-07
1,3.0,4.0,8,-2.6690541982261982e-08,8.504987375847494e-12,-2.6701560259949053e-08,-2.6675855613564803e-08,3.589384303232782e-07,3.2352818444705723e-07,2.8167382371326555e-20,-1.4251061166335853e-32,-7.091571567526257e-07
1,4.0,5.0,8,-2.6644222904094733e-08,1.8229162467620334e-11,-2.6670150333097217e-08,-2.6614561088208608e-08,3.592628009966368e-07,3.085856102954731e-07,0.0,0.0,-6.944926341962046e-07
1,5.0,6.0,8,-2.6564167055515885e-08,2.7592689995271788e-11,-2.6604543484998945e-08,-2.6520324644491183e-08,3.595435374636479e-07,2.820058515391572e-07,0.0,0.0,-6.681135560583208e-07
1,6.0,8.0,16,-2.6383887920522016e-08,7.95294308256887e-11,-2.6506404224234207e-08,-2.624835649098194e-08,3.6014445457302457e-07,2.1871224437058178e-07,0.0,0.0,-6.052405868641284e-07
1,8.0,10.0,16,-2.606921337623158e-08,9.984064802595006e-11,-2.6228632497153446e-08,-2.5904467618986153e-08,3.613092277690889e-07,9.517302083325344e-08,0.0,0.0,-4.825514619785739e-07
