total_volume_m3,mirror_error,energy_J,V_left_m3,R_left_m,mu_left_Pa,centroid_left_m,V_center_m3,R_center_m,mu_center_Pa,centroid_center_m,V_right_m3,R_right_m,mu_right_Pa,centroid_right_m,LEFT_gb_z_m,LEFT_tj_z_m,LEFT_tj_r_m,LEFT_neck_r_m,LEFT_psi_deg,LEFT_kappa_per_m,LEFT_CC_force_N,LEFT_CC_stress_Pa,LEFT_PF_geometric_stress_Pa,RIGHT_gb_z_m,RIGHT_tj_z_m,RIGHT_tj_r_m,RIGHT_neck_r_m,RIGHT_psi_deg,RIGHT_kappa_per_m,RIGHT_CC_force_N,RIGHT_CC_stress_Pa,RIGHT_PF_geometric_stress_Pa,t_model,t_s,step,mu_projected_left_Pa,mu_projected_center_Pa,mu_projected_right_Pa,delta_mu_projected_Pa,center_GB_separation_over_W,center_solid_core_f
9.836756271856841e-21,5.551115123125783e-16,2.5453901155141617e-13,4.1992923912350294e-21,1.0008350399574683e-07,20281042.0308823,-7.012281721486911e-08,1.4381714893867825e-21,7.002299600415282e-08,20379968.362569053,8.576766837117914e-25,4.1992923912350294e-21,1.0008350399574683e-07,20281042.030882303,7.012281721486911e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150289467011356e-07,1.150289467011356e-07,160.4081671369126,17297801.77863779,-6.832812450016661e-09,-164374.83934957907,16969051.598846972,1.7011870189681142e-08,1.7011870189681142e-08,1.150289467011356e-07,1.150289467011356e-07,160.40816713691626,17297801.778632145,-6.8328124497781845e-09,-164374.83934384212,16969051.598852802,0.0,0.0,0.0,17089658.25757474,18741714.639697954,17089658.257574745,1652056.3821232095,8.50593509484057,1.0
9.83675627185684e-21,2.9976021664879227e-15,2.545386709419329e-13,4.1992924143869545e-21,1.0008350417967669e-07,20281274.53217308,-7.012281652332917e-08,1.4381714430829296e-21,7.002299525265816e-08,20377858.51560843,-8.576767113258391e-25,4.1992924143869545e-21,1.0008350417967669e-07,20281274.532173075,7.012281652332917e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1503241984881229e-07,1.1503241984881229e-07,160.36063081429722,17386962.25729275,-1.061229339543819e-08,-255281.2184107527,16876399.333146125,1.7011870189681142e-08,1.7011870189681142e-08,1.1503241984881229e-07,1.1503241984881229e-07,160.36063081428094,17386962.257317245,-1.0612293396473921e-08,-255281.21843566746,16876399.333120786,7.472883508979904e-05,1.164271003826431e-06,1.0,17090028.1169714,18746343.35733107,17090028.11697139,1656315.2403596751,8.50593509484057,1.0
9.83675627185684e-21,2.55351295663786e-15,2.5453841504492247e-13,4.199292435561172e-21,1.0008350434789471e-07,20281465.950347587,-7.012281590876097e-08,1.4381714007344943e-21,7.002299456535849e-08,20376162.982828576,0.0,4.199292435561172e-21,1.0008350434789471e-07,20281465.95034759,7.012281590876098e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150351316075802e-07,1.150351316075802e-07,160.21097582036234,17605925.588979967,-1.989413111915392e-08,-478535.4499903843,16648854.194978617,1.7011870189681142e-08,1.7011870189681142e-08,1.1503513160758018e-07,1.1503513160758018e-07,160.210975820364,17605925.588976674,-1.9894131119014996e-08,-478535.4499870427,16648854.194982007,0.00014771049204959774,2.3013210716803604e-06,2.0,17090327.732319202,18750067.401630618,17090327.73231919,1659739.6693114191,8.50593509484057,1.0
9.83675627185684e-21,5.329070518200751e-15,2.5453816488834255e-13,4.199292459917952e-21,1.000835045413965e-07,20281653.67710569,-7.01228152200918e-08,1.4381713520209338e-21,7.002299377475513e-08,20374510.306621596,0.0,4.199292459917952e-21,1.000835045413965e-07,20281653.677105702,7.01228152200918e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1503784328526671e-07,1.1503784328526671e-07,159.96756879945482,17943352.221170153,-3.420576519545099e-08,-822750.1600792967,16297851.386371985,1.7011870189681142e-08,1.7011870189681142e-08,1.150378432852667e-07,1.150378432852667e-07,159.96756879945025,17943352.221177377,-3.420576519575625e-08,-822750.1600866392,16297851.38636452,0.0002366194865810754,3.6865181537434326e-06,3.0,17090446.764937893,18751523.54805372,17090446.764937818,1661076.7831158638,8.50593509484057,1.0
9.83675627185684e-21,7.771561172376096e-16,2.545379160676967e-13,4.199292488256173e-21,1.0008350476652875e-07,20281840.83230447,-7.012281444113633e-08,1.438171295344492e-21,7.002299285491708e-08,20372857.34799306,8.576767994320456e-25,4.199292488256174e-21,1.0008350476652876e-07,20281840.832304478,7.012281444113632e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1504057914931783e-07,1.1504057914931784e-07,159.65109315871274,18365732.861749217,-5.213551224196372e-08,-1253954.1393427886,15857824.05898736,1.7011870189681142e-08,1.7011870189681142e-08,1.1504057914931783e-07,1.1504057914931783e-07,159.6510931587186,18365732.861741893,-5.213551224165269e-08,-1253954.1393353082,15857824.058995,0.0003456800164276888,5.3856750107956855e-06,4.0,17090214.63122309,18748606.78504948,17090214.631223094,1658392.1538263895,8.50593509484057,1.0
9.83675627185684e-21,8.881784197001252e-16,2.5453766645267514e-13,4.1992925212907675e-21,1.0008350502897122e-07,20282028.13047633,-7.012281355922342e-08,1.4381712292753073e-21,7.00229917826382e-08,20371178.83389247,8.576768388334784e-25,4.199292521290766e-21,1.0008350502897119e-07,20282028.130476337,7.012281355922343e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1504334012184148e-07,1.1504334012184148e-07,159.29436834524188,18824235.912452243,-7.162007181288544e-08,-1722510.645961199,15379214.117154732,1.7011870189681142e-08,1.7011870189681142e-08,1.1504334012184148e-07,1.1504334012184148e-07,159.29436834524796,18824235.912444778,-7.162007181256823e-08,-1722510.6459535696,15379214.117162522,0.0004793130043338963,7.467669367952791e-06,5.0,17089545.82131546,18740229.75970282,17089545.821315456,1650683.9383873604,8.50593509484057,1.0
9.836756271856843e-21,3.885780586188048e-15,2.545374373270558e-13,4.199292556034862e-21,1.0008350530499474e-07,20282198.203836024,-7.012281265711755e-08,1.438171159787118e-21,7.002299065487008e-08,20369614.2338992,0.0,4.199292556034862e-21,1.0008350530499474e-07,20282198.20383603,7.012281265711754e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1504587099921564e-07,1.1504587099921565e-07,158.96660669020125,19228199.590216435,-8.88104308346691e-08,-2135856.3061082214,14956486.523639992,1.7011870189681142e-08,1.7011870189681142e-08,1.1504587099921564e-07,1.1504587099921564e-07,158.96660669019232,19228199.590228897,-8.881043083519743e-08,-2135856.3061209284,14956486.523627037,0.0006263849181458729,9.759041426981697e-06,6.0,17088601.064888444,18728350.567412507,17088601.06488839,1639749.502524089,8.50593509484057,1.0
9.83675627185684e-21,1.27675647831893e-15,2.5453722691862393e-13,4.199292591913132e-21,1.0008350559002871e-07,20282351.18008283,-7.012281174846374e-08,1.4381710880305752e-21,7.002298949028737e-08,20368156.051537644,0.0,4.1992925919131334e-21,1.0008350559002873e-07,20282351.180082835,7.012281174846372e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1504817777052004e-07,1.1504817777052006e-07,158.69010414312797,19552541.10546369,-1.0263556660612682e-07,-2468246.460121695,14616047.79581232,1.7011870189681142e-08,1.7011870189681142e-08,1.1504817777052006e-07,1.1504817777052006e-07,158.69010414313632,19552541.105453417,-1.0263556660568983e-07,-2468246.460111186,14616047.79582306,0.0007844640077735306,1.222190465967626e-05,7.0,17087580.469261732,18715443.022036545,17087580.46926171,1627862.5527748242,8.50593509484057,1.0
9.83675627185684e-21,1.2212453270876722e-15,2.545370211928134e-13,4.199292630843642e-21,1.0008350589931112e-07,20282496.141090274,-7.01228107846368e-08,1.4381710101695548e-21,7.002298822663116e-08,20366711.17880487,0.0,4.199292630843642e-21,1.0008350589931112e-07,20282496.14109027,7.01228107846368e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150504056715044e-07,1.150504056715044e-07,158.4589467073841,19806550.88922592,-1.1348710120869728e-07,-2729105.4808649495,14348339.611796547,1.7011870189681142e-08,1.7011870189681142e-08,1.1505040567150439e-07,1.1505040567150439e-07,158.458946707368,19806550.889250487,-1.1348710120973781e-07,-2729105.4808899723,14348339.611771073,0.0009624115367675627,1.4994317048566772e-05,8.0,17086591.647394612,18702839.99688978,17086591.647394612,1616248.3494951688,8.50593509484057,1.0
9.83675627185684e-21,2.55351295663786e-15,2.545368628354178e-13,4.1992926634803494e-21,1.0008350615859257e-07,20282603.72287319,-7.012280999160116e-08,1.4381709448961412e-21,7.00229871672672e-08,20365585.917764395,0.0,4.1992926634803494e-21,1.0008350615859257e-07,20282603.722873192,7.012280999160116e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1505209821420313e-07,1.1505209821420313e-07,158.31318056651355,19953736.95877362,-1.197940697090884e-07,-2880688.904635828,14192358.892003214,1.7011870189681142e-08,1.7011870189681142e-08,1.1505209821420313e-07,1.1505209821420313e-07,158.31318056651133,19953736.95877888,-1.197940697093098e-07,-2880688.9046411514,14192358.89199783,0.0011162617896462925,1.7391295245039693e-05,9.0,17085928.91909886,18694308.918491505,17085928.919098884,1608379.9993926324,8.50593509484057,1.0
