time_s,elapsed_s,phase,active_contact,avalanche_id,event_number,q_over_b,cumulative_q_over_b,quota_strain,centroid_strain,source_amplitude_h,descendant_barrier_lowering_eV,descendant_hazard,descendant_threshold,descendant_H_over_Hstar,root_hazard_LEFT,root_hazard_RIGHT,root_threshold_LEFT,root_threshold_RIGHT,root_H_over_Hstar_LEFT,root_H_over_Hstar_RIGHT,transport_paused,recovery_active,source_window_deadline_s,energy_J,V_left_m3,V_center_m3,V_right_m3,R_left_m,R_center_m,R_right_m,centroid_left_m,centroid_center_m,centroid_right_m,outer_centroid_separation_m,GB_LEFT_m,GB_RIGHT_m,TJ_LEFT_m,TJ_RIGHT_m,center_span_m,center_mean_local_Pa,cluster_weighted_local_Pa,cluster_weighted_integral_Pa,Cannon_Carter_LEFT_Pa,Cannon_Carter_RIGHT_Pa,Cannon_Carter_LEFT_force_N,Cannon_Carter_RIGHT_force_N,source_lifetime_remaining_s,source_window_age_s,LEFT_sigma_local_Pa,LEFT_sigma_integral_continuous_Pa,LEFT_root_rate_per_s,LEFT_transport_affinity_Pa,LEFT_TJ_radius_m,LEFT_neck_radius_m,LEFT_contact_area_m2,LEFT_contact_angle_mean_rad,LEFT_negative_theta_rad,LEFT_negative_kappa_meridional_per_m,LEFT_negative_sigma_kappa_Pa,LEFT_negative_sigma_TJ_Pa,LEFT_negative_sigma_local_Pa,LEFT_negative_decomposition_residual_Pa,LEFT_negative_continuous_turning_rad,LEFT_negative_branch_length_m,LEFT_negative_continuous_curvature_per_m,LEFT_negative_sigma_integral_continuous_Pa,LEFT_positive_theta_rad,LEFT_positive_kappa_meridional_per_m,LEFT_positive_sigma_kappa_Pa,LEFT_positive_sigma_TJ_Pa,LEFT_positive_sigma_local_Pa,LEFT_positive_decomposition_residual_Pa,LEFT_positive_continuous_turning_rad,LEFT_positive_branch_length_m,LEFT_positive_continuous_curvature_per_m,LEFT_positive_sigma_integral_continuous_Pa,RIGHT_sigma_local_Pa,RIGHT_sigma_integral_continuous_Pa,RIGHT_root_rate_per_s,RIGHT_transport_affinity_Pa,RIGHT_TJ_radius_m,RIGHT_neck_radius_m,RIGHT_contact_area_m2,RIGHT_contact_angle_mean_rad,RIGHT_negative_theta_rad,RIGHT_negative_kappa_meridional_per_m,RIGHT_negative_sigma_kappa_Pa,RIGHT_negative_sigma_TJ_Pa,RIGHT_negative_sigma_local_Pa,RIGHT_negative_decomposition_residual_Pa,RIGHT_negative_continuous_turning_rad,RIGHT_negative_branch_length_m,RIGHT_negative_continuous_curvature_per_m,RIGHT_negative_sigma_integral_continuous_Pa,RIGHT_positive_theta_rad,RIGHT_positive_kappa_meridional_per_m,RIGHT_positive_sigma_kappa_Pa,RIGHT_positive_sigma_TJ_Pa,RIGHT_positive_sigma_local_Pa,RIGHT_positive_decomposition_residual_Pa,RIGHT_positive_continuous_turning_rad,RIGHT_positive_branch_length_m,RIGHT_positive_continuous_curvature_per_m,RIGHT_positive_sigma_integral_continuous_Pa,nearest_frame,nearest_frame_time_error_s,near_axis_extent_strain_nearest_frame,delta_GB_LEFT_m,delta_GB_RIGHT_m,delta_TJ_LEFT_m,delta_TJ_RIGHT_m,delta_outer_centroid_separation_m,transport_clock_increment_s,qdot_m_per_s,quota_increment_over_b
305.76900020092603,0.0,POST_TRANSIENT_NEW_TRAJECTORY,,0,0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,nan,,0.0,0.0,0.01436940466270246,1.7253649906994264,0.0,0.0,False,False,nan,3.5905932135876296e-13,7.270539097300565e-21,1.9493371444489223e-21,7.270539070538216e-21,1.2017828486050014e-07,7.749364989594161e-08,1.2017828471304417e-07,-8.04348008764343e-08,1.2714897282823772e-15,8.043480129084714e-08,1.6086960216728146e-07,-1.639999424029289e-08,1.639999424029289e-08,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,18575469.165420517,18506930.357505687,18920626.209403947,9849954.752595078,9849960.999071185,5.796177370131769e-07,5.796181229117993e-07,nan,nan,18506938.035943095,18920625.923882063,0.06607302241998626,120714780.59923999,1.3686070706822664e-07,1.3686070706822664e-07,5.884471061762697e-14,2.871325059207584,2.7849819037686503,3134176.187762133,-3134176.187762133,21572568.687977638,18438392.500215504,0.0,1.6783309528985682,2.382831767206572e-07,7043430.325197065,14529138.362780573,2.9576682146465174,3251989.243350772,-3251989.243350772,21827472.815021455,18575483.571670685,-3.725290298461914e-09,-0.04878668035981677,3.286093486921815e-08,-1484640.6699620942,23312113.484983552,18506922.67906852,18920626.49492582,0.06607298206082678,120714802.78373078,1.368607092318786e-07,1.368607092318786e-07,5.884471247819715e-14,2.8713250216096466,2.957667992374327,3252017.487062295,-3252017.487062295,21827472.246232647,18575454.759170353,0.0,-0.048786721510128694,3.286093486921815e-08,-1484641.92221837,23312114.16845102,2.7849820508449663,3134178.0338680367,-3134178.0338680367,21572568.63283472,18438390.598966684,0.0,1.6783310417529684,2.382832067167637e-07,7043429.811434103,14529138.821400616,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
305.969000200926,0.19999999999998863,RELOAD,,0,0,0.0,0.0,0.0,-1.9348190343215776e-06,1.0,1.5,0.0,nan,,0.013214633996843382,0.013214625946107651,0.01436940466270246,1.7253649906994264,0.9196368469699775,0.00765903215687176,False,False,nan,3.590592895215574e-13,7.270542182971047e-21,1.949330972545421e-21,7.270542156771238e-21,1.201783018620149e-07,7.74935681102202e-08,1.2017830171765847e-07,-8.043495650680613e-08,1.2853654876991146e-15,8.043495691404365e-08,1.608699134208498e-07,-1.639999424029289e-08,1.639999424029289e-08,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,18575640.56855463,18507083.39341901,18920591.505274642,9848602.31750247,9848609.49147516,5.795360944581165e-07,5.795365349812215e-07,nan,nan,18507091.033269025,18920591.217234865,0.06607331754844754,120714424.31289285,1.3686046395806672e-07,1.3686046395806672e-07,5.884450156223613e-14,2.8713252736971895,2.7849791736479355,3134074.527367523,-3134074.527367523,21572601.701003797,18438527.173636273,0.0,1.6782998483598128,2.3827716894780574e-07,7043477.374567271,14529124.326436527,2.9576713737464435,3251859.8746259348,-3251859.8746259348,21827514.76752771,18575654.892901774,0.0,-0.048783479892517106,3.286093343418725e-08,-1484543.3405054968,23312058.108033203,18507075.753569238,18920591.793314412,0.06607327740024974,120714446.6937089,1.3686046612765342e-07,1.3686046612765342e-07,5.88445034279064e-14,2.8713252338605235,2.9576711528879067,3251887.955009864,-3251887.955009864,21827514.19921735,18575626.244207483,3.725290298461914e-09,-0.048783522180879696,3.286093343418725e-08,-1484544.6273941568,23312058.826611504,2.7849793148331408,3134076.37054416,-3134076.37054416,21572601.63347515,18438525.262930993,-3.725290298461914e-09,1.6782999407022372,2.382771990104247e-07,7043476.873457838,14529124.760017317,0,0.060648776036316576,-1.706877784890537e-06,0.0,0.0,0.0,0.0,3.1125356832890544e-13,0.0,nan,0.0
305.9864776179182,0.2174774169921534,ROOT_CROSSING,LEFT,1,0,0.0,0.0,0.0,-2.1038782296312064e-06,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.5905928674308277e-13,7.270542452569737e-21,1.9493304332989192e-21,7.270542426419049e-21,1.201783033474572e-07,7.749356096449688e-08,1.201783032033714e-07,-8.043497010535884e-08,1.286700371229295e-15,8.043497051197644e-08,1.6086994061733527e-07,-1.639999424029289e-08,1.639999424029289e-08,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,18575655.54422044,18507096.76507873,18920588.47564117,9848483.9341931,9848491.19718225,5.795289483569173e-07,5.795293941194137e-07,nan,nan,18507104.399993353,18920588.18738375,0.06607334333143214,120714391.69904757,1.3686044271631447e-07,1.3686044271631447e-07,5.884448329603727e-14,2.8713252924538706,2.7849789351794825,3134065.644208043,-3134065.644208043,21572604.585668378,18438538.941460334,0.0,1.678297128655042,2.3827664392805373e-07,7043481.480131113,14529123.105537264,2.957671649728259,3251848.574561564,-3251848.574561564,21827518.43308793,18575669.858526368,0.0,-0.0487832002451102,3.286093330883218e-08,-1484534.8361422992,23312053.26923023,18507089.13016435,18920588.763898578,0.06607330320994087,120714414.09722759,1.3686044488609228e-07,1.3686044488609228e-07,5.884448516187157e-14,2.8713252524067325,2.9576714290272887,3251876.6349913524,-3251876.6349913524,21827517.864905864,18575641.229914512,0.0,-0.0487832426365082,3.2860933308832184e-08,-1484536.1261664622,23312053.991072327,2.784979075786176,3134067.4865709622,-3134067.4865709622,21572604.516985152,18438537.03041419,0.0,1.6782972213332956,2.3827667399639468e-07,7043480.980260324,14529123.53672483,0,0.043171359044151814,-1.706877784890537e-06,0.0,0.0,0.0,0.0,3.384500538125894e-13,0.0,nan,0.0
305.9864776179182,0.2174774169921534,ACTIVE_ONE_B,LEFT,1,1,0.0,0.0,0.0,-2.1038782296312064e-06,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.5905928674308277e-13,7.270542452569737e-21,1.9493304332989192e-21,7.270542426419049e-21,1.201783033474572e-07,7.749356096449688e-08,1.201783032033714e-07,-8.043497010535884e-08,1.286700371229295e-15,8.043497051197644e-08,1.6086994061733527e-07,-1.639999424029289e-08,1.639999424029289e-08,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,18575655.54422044,18507096.76507873,18920588.47564117,9848483.9341931,9848491.19718225,5.795289483569173e-07,5.795293941194137e-07,nan,nan,18507104.399993353,18920588.18738375,0.06607334333143214,120714391.69904757,1.3686044271631447e-07,1.3686044271631447e-07,5.884448329603727e-14,2.8713252924538706,2.7849789351794825,3134065.644208043,-3134065.644208043,21572604.585668378,18438538.941460334,0.0,1.678297128655042,2.3827664392805373e-07,7043481.480131113,14529123.105537264,2.957671649728259,3251848.574561564,-3251848.574561564,21827518.43308793,18575669.858526368,0.0,-0.0487832002451102,3.286093330883218e-08,-1484534.8361422992,23312053.26923023,18507089.13016435,18920588.763898578,0.06607330320994087,120714414.09722759,1.3686044488609228e-07,1.3686044488609228e-07,5.884448516187157e-14,2.8713252524067325,2.9576714290272887,3251876.6349913524,-3251876.6349913524,21827517.864905864,18575641.229914512,0.0,-0.0487832426365082,3.2860933308832184e-08,-1484536.1261664622,23312053.991072327,2.784979075786176,3134067.4865709622,-3134067.4865709622,21572604.516985152,18438537.03041419,0.0,1.6782972213332956,2.3827667399639468e-07,7043480.980260324,14529123.53672483,0,0.043171359044151814,-1.706877784890537e-06,0.0,0.0,0.0,0.0,3.384500538125894e-13,0.0,nan,0.0
305.9867545459948,0.21775434506878355,ACTIVE_ONE_B,LEFT,1,1,0.0025,0.0025,3.885134242764455e-06,-1.8224876958683467e-06,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.5905924893079763e-13,7.27054149587122e-21,1.949331392476883e-21,7.270542423939603e-21,1.201782980762132e-07,7.749357367486186e-08,1.201783031897101e-07,-8.04349248149271e-08,-1.8047027377633448e-13,8.043497053522498e-08,1.6086989535015207e-07,-1.639999424029289e-08,1.6399913566181608e-08,-1.639999424029289e-08,1.6399913566181608e-08,3.27999078064745e-08,18592872.872773707,18515061.98324713,18914077.389288425,9665117.71124615,9837775.718203872,5.687747112740594e-07,5.78896499108202e-07,nan,nan,18510681.165849987,18911634.427781686,0.0660850697248234,120626907.46310528,1.3686475652110514e-07,1.3686475652110514e-07,5.884819287945597e-14,2.8721568181536408,2.785805988971274,3131076.7224413306,-3131076.7224413306,21573530.472829986,18442453.750388656,0.0,1.6778836016047702,2.3827578935829294e-07,7041771.243832722,14531759.228997264,2.9585076473360075,3248761.351979017,-3248761.351979017,21827669.933290336,18578908.58131132,0.0,-0.04810244923685516,3.286046242482437e-08,-1463839.6932757788,23291509.626566112,18519443.094445057,18916520.51463309,0.06610647846637112,120740793.30116904,1.3686016731465513e-07,1.3686016731465513e-07,5.884424647301207e-14,2.8715522736711154,2.9582214000602436,3221277.6777008167,-3221277.6777008167,21828114.84193691,18606837.164236095,-3.725290298461914e-09,-0.048506755406828174,3.286046242482437e-08,-1476143.4206167422,23304258.262553655,2.784883147281987,3140412.742434187,-3140412.742434187,21572461.7670882,18432049.024654016,0.0,1.6783451854310194,2.382767848082662e-07,7043679.00037568,14528782.766712522,0,0.04289443096752166,-1.706877784890537e-06,0.0,-8.067411128260082e-14,0.0,-8.067411128260082e-14,2.931828706057284e-13,0.0002769280766301563,2.256903697181639e-09,0.0025
305.98703166796724,0.21803146704121446,ACTIVE_ONE_B,LEFT,1,1,0.005,0.005,7.77026848552891e-06,-1.5412121017188696e-06,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.590592221110616e-13,7.270540539172705e-21,1.94933235382405e-21,7.270542419290952e-21,1.2017829280496877e-07,7.749358641396743e-08,1.2017830316409685e-07,-8.04348795234153e-08,-3.6221184687527494e-13,8.043497057804382e-08,1.608698501014591e-07,-1.639999424029289e-08,1.6399832896276833e-08,-1.639999424029289e-08,1.6399832896276833e-08,3.2799827136569726e-08,18609734.156706918,18522592.404110566,18907648.878158495,9484663.828248106,9831544.478581998,5.581904751700562e-07,5.785274333022658e-07,nan,nan,18513517.43999313,18902860.62595819,0.06609479818281418,120545534.85211915,1.3686906585683934e-07,1.3686906585683934e-07,5.885189873652681e-14,2.8729810480424045,2.786625750575465,3128809.188047434,-3128809.188047434,21574439.207421597,18445630.019374162,0.0,1.6774737206482977,2.3827493747607901e-07,7040076.217905642,14534362.989515955,2.959336345509344,3246406.182605593,-3246406.182605593,21827811.04321769,18581404.860612098,-3.725290298461914e-09,-0.04743495224582239,3.285999350452674e-08,-1443547.2191827374,23271358.262400426,18531668.585906122,18912437.772846177,0.06613930805243386,120767246.82333396,1.368598842394625e-07,1.368598842394625e-07,5.884400305186908e-14,2.8717775173811235,2.958771903144821,3190648.128142656,-3190648.128142656,21828711.580944393,18638063.452801738,0.0,-0.048229849238416514,3.285999350452675e-08,-1467737.6376161617,23296449.218560554,2.7847831316174263,3147038.166090649,-3147038.166090649,21572311.885101154,18425273.719010506,0.0,1.6783951931089256,2.382768969336836e-07,7043885.557969351,14528426.327131804,0,0.04261730899509075,-1.706877784890537e-06,0.0,-1.613440160573105e-13,0.0,-1.613440160573105e-13,2.4793417765164996e-13,0.00027712197243090486,2.2553245941399757e-09,0.0025
305.98730897424485,0.21830877331882448,ACTIVE_ONE_B,LEFT,1,1,0.0075,0.0075,1.1655402728293362e-05,-1.2600394900807999e-06,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.5905920622555206e-13,7.270539582479657e-21,1.949333317129578e-21,7.270542412678469e-21,1.20178287533754e-07,7.749359917901967e-08,1.2017830312766318e-07,-8.043483423075254e-08,-5.439396190253967e-13,8.043497063858039e-08,1.6086980486933293e-07,-1.639999424029289e-08,1.639975223057602e-08,-1.639999424029289e-08,1.639975223057602e-08,3.2799746470868905e-08,18626346.05954428,18529808.902657486,18901279.819165763,9302315.050100211,9827735.52285455,5.474933516772431e-07,5.78300872982701e-07,nan,nan,18515827.200018,18894219.33369592,0.06610310597241052,120466622.19247757,1.368733719673313e-07,1.368733719673313e-07,5.885560193656794e-14,2.873800035749745,2.787440280868888,3127053.625181325,-3127053.625181325,21575334.669991814,18448281.04481049,0.0,1.6770664553472099,2.3827408811736587e-07,7038392.082823303,14536942.58716851,2.9601597906306023,3244570.340825262,-3244570.340825262,21827943.696050774,18583373.35522551,0.0,-0.04677725748282005,3.285952663414595e-08,-1423552.3841725553,23251496.08022333,18543793.419932738,18908341.72597143,0.06617186759938075,120793896.3805745,1.3685959715960651e-07,1.3685959715960651e-07,5.884375618756258e-14,2.8720013662854615,2.9593228990191287,3159989.03502899,-3159989.03502899,21829307.798892036,18669318.763863046,0.0,-0.04795251289109838,3.2859526634145965e-08,-1459318.4322158964,23288626.23110793,2.784679833551794,3153888.117749852,-3153888.117749852,21572156.193752278,18418268.076002426,0.0,1.6784468419873682,2.3827701008184884e-07,7044098.972917349,14528057.22083493,0,0.04234000271748073,-1.706877784890537e-06,0.0,-2.4200971687184536e-13,0.0,-2.4200971687184536e-13,2.027020514708797e-13,0.00027730627761002324,2.2538256450109637e-09,0.0024999999999999996
305.9875864608145,0.21858625988846825,ACTIVE_ONE_B,LEFT,1,1,0.01,0.01,1.554053697105782e-05,-9.789607582355586e-07,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.590592012320852e-13,7.270538625796202e-21,1.9493342822323266e-21,7.270542404259176e-21,1.201782822625916e-07,7.749361196788317e-08,1.2017830308127434e-07,-8.043478893688729e-08,-7.256548188276237e-13,8.043497071542188e-08,1.608697596523092e-07,-1.639999424029289e-08,1.639967156907939e-08,-1.639999424029289e-08,1.639967156907939e-08,3.279966580937228e-08,18642745.558480382,18536763.710274898,18894956.844920173,9116244.537992809,9824932.789511872,5.365758004168239e-07,5.781334971262158e-07,nan,nan,18517699.263852287,18885682.617113836,0.06611023273796633,120388945.35422191,1.3687767557700912e-07,1.3687767557700912e-07,5.885930310234589e-14,2.874614639141363,2.788250562953732,3125712.482368202,-3125712.482368202,21576218.709832642,18450506.22746444,0.0,1.676661314150411,2.3827324118406267e-07,7036716.778680213,14539501.931152431,2.9609787153289946,3243176.2715632194,-3243176.2715632194,21828068.57180335,18584892.300240133,-3.725290298461914e-09,-0.04612737792886202,3.2859061870868394e-08,-1403794.7312718874,23231863.30307524,18555833.274546653,18904233.562392235,0.06620419969612024,120820751.63817863,1.368593068746115e-07,1.368593068746115e-07,5.884350656763516e-14,2.87222403503527,2.959874313253795,3129304.473074919,-3129304.473074919,21829903.28979555,18700598.81672063,0.0,-0.04767476883326249,3.285906187086839e-08,-1450886.486675055,23280789.776470605,2.7845737568167443,3160927.8094329173,-3160927.8094329173,21571995.541805595,18411067.732372675,3.725290298461914e-09,1.6784998802005193,2.3827712407302846e-07,7044318.193491724,14527677.348313868,0,0.04206251614783696,-1.706877784890537e-06,0.0,-3.2267121350121223e-13,0.0,-3.2267121350121223e-13,1.5748502772874033e-13,0.00027748656964377005,2.2523612613120653e-09,0.0025000000000000005
305.9878641257375,0.21886392481144412,ACTIVE_ONE_B,LEFT,1,1,0.0125,0.0125,1.9425671213822273e-05,-6.979681019814166e-07,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.5905920710011865e-13,7.270537669129275e-21,1.9493352489995596e-21,7.270542394158873e-21,1.201782769915198e-07,7.749362477879904e-08,1.201783030256234e-07,-8.043474364169425e-08,-9.073586174286308e-13,8.04349708074381e-08,1.6086971444913234e-07,-1.639999424029289e-08,1.639959091178607e-08,-1.639999424029289e-08,1.639959091178607e-08,3.279958515207896e-08,18658972.926502407,18543498.019881394,18888669.818726674,8925931.086882453,9822226.96506849,5.254071049180268e-07,5.779718022791284e-07,nan,nan,18519205.895797346,18877229.22247629,0.06611637340809878,120311916.176957,1.368819771305104e-07,1.368819771305104e-07,5.88630026160705e-14,2.8754255843363765,2.7890571895507152,3124727.1457664836,-3124727.1457664836,21577092.452405613,18452365.306639127,0.0,1.6762580006975425,2.3827239661641556e-07,7035049.063597904,14542043.38880771,2.961793979122038,3242140.02143374,-3242140.02143374,21828186.506389305,18586046.484955564,0.0,-0.04548381117134446,3.2858599238815035e-08,-1384228.5497555714,23212415.05614487,18567798.296483174,18900114.25447926,0.06623633188562619,120847791.66509438,1.3685901388660195e-07,1.3685901388660195e-07,5.884325462388644e-14,2.872445662820697,2.960426077390258,3098598.5338565595,-3098598.5338565595,21830497.90190581,18731899.36804925,0.0,-0.04739664272716692,3.2858599238815035e-08,-1442442.5820069183,23272940.48391273,2.784465248251135,3168133.2955817124,-3168133.2955817124,21571830.520498812,18403697.224917103,-3.725290298461914e-09,1.67855413432895,2.3827723878625063e-07,7044542.495453024,14527288.02504579,0,0.041784851224861086,-1.706877784890537e-06,0.0,-4.0332850681891387e-13,0.0,-4.0332850681891387e-13,1.1228185088417596e-13,0.0002776649229758732,2.2509144954341514e-09,0.0025000000000000005
305.98814196812765,0.21914176720162004,ACTIVE_ONE_B,LEFT,1,1,0.015000000000000001,0.015000000000000001,2.3310805456586728e-05,-4.1705605502428966e-07,1.0,1.5,0.0,nan,,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,1.0,0.008328334277253768,False,False,nan,3.590592237913348e-13,7.27053671247804e-21,1.9493362173282655e-21,7.270542382481397e-21,1.20178271720534e-07,7.749363761040218e-08,1.2017830296128254e-07,-8.043469834522611e-08,-1.0890516428099381e-12,8.043497091369701e-08,1.6086966925892312e-07,-1.639999424029289e-08,1.6399510258701382e-08,-1.639999424029289e-08,1.6399510258701382e-08,3.279950449899427e-08,18675047.45700766,18550036.205553148,18882412.30872541,8731782.788370658,9819047.176279627,5.140112450924967e-07,5.777821994243115e-07,nan,nan,18520388.682759404,18868845.48643718,0.06612164020411669,120235204.68652053,1.368862770345218e-07,1.368862770345218e-07,5.886670082735885e-14,2.876233301322001,2.7898605861376997,3124057.5539015736,-3124057.5539015736,21577956.697810188,18453899.143908616,-3.725290298461914e-09,1.675856302249674,2.3827155435758324e-07,7033388.046542276,14544568.651267912,2.962606016506303,3241419.688260805,-3241419.688260805,21828297.909870993,18586878.22161019,0.0,-0.04484558989316651,3.2858138752180325e-08,-1364824.4117354562,23193122.32160645,18579695.669468097,18895984.59531736,0.06626828365435387,120874989.51424387,1.36858718542787e-07,1.36858718542787e-07,5.884300065489953e-14,2.8726663484815225,2.960978133451049,3067874.8269520057,-3067874.8269520057,21831091.51935714,18763216.692405134,0.0,-0.04711815851989165,3.285813875218032e-08,-1433987.447532009,23265078.96688915,2.7843545635119953,3175486.9221106158,-3175486.9221106158,21571661.56864168,18396174.646531064,0.0,1.6786094765441464,2.3827735413446566e-07,7044771.344896111,14526890.22374557,0,0.041507008834685166,-1.706877784890537e-06,0.0,-4.839815915078333e-13,0.0,-4.839815915078333e-13,6.709164166404781e-14,0.0002778423901759197,2.249476761282801e-09,0.0025000000000000005
