episode,avalanche_id,event_number,q_over_b,start_time_s,end_time_s,duration_s,recovery_steps,affinity_start_Pa,affinity_min_Pa,affinity_end_Pa,LEFT_sigma_local_Pa_start,LEFT_sigma_local_Pa_end,delta_LEFT_sigma_local_Pa,RIGHT_sigma_local_Pa_start,RIGHT_sigma_local_Pa_end,delta_RIGHT_sigma_local_Pa,V_center_m3_start,V_center_m3_end,delta_V_center_m3,center_span_m_start,center_span_m_end,delta_center_span_m,LEFT_TJ_radius_m_start,LEFT_TJ_radius_m_end,delta_LEFT_TJ_radius_m,RIGHT_TJ_radius_m_start,RIGHT_TJ_radius_m_end,delta_RIGHT_TJ_radius_m,LEFT_neck_radius_m_start,LEFT_neck_radius_m_end,delta_LEFT_neck_radius_m,RIGHT_neck_radius_m_start,RIGHT_neck_radius_m_end,delta_RIGHT_neck_radius_m,GB_LEFT_m_start,GB_LEFT_m_end,delta_GB_LEFT_m,GB_RIGHT_m_start,GB_RIGHT_m_end,delta_GB_RIGHT_m,centroid_strain_start,centroid_strain_end,delta_centroid_strain,quota_strain_start,quota_strain_end,delta_quota_strain,energy_J_start,energy_J_end,delta_energy_J
1,1,4,0.8774999999999924,311.6089185499056,311.6093080484848,0.00038949857923853415,1,25240.639632046223,25240.639632046223,336221.78457948565,-4675926.5122694485,-4600339.046990285,75587.4652791638,24573129.739147473,24558937.060387928,-14192.678759545088,1.9545316723703785e-21,1.9545469668052715e-21,1.5294434893011078e-26,3.2688338732493886e-08,3.268834081368586e-08,2.081191973219689e-15,1.39533986430579e-07,1.3951726173377182e-07,-1.6724696807178136e-11,1.358892432255092e-07,1.3588892948222132e-07,-3.1374328787262357e-13,1.39533986430579e-07,1.3951726173377182e-07,-1.6724696807178136e-11,1.358892432255092e-07,1.3588892948222132e-07,-3.1374328787262357e-13,-1.6399994240292897e-08,-1.6399994240292897e-08,0.0,1.6288344492200993e-08,1.6288346573392963e-08,2.0811919699109666e-15,9.982582432188636e-05,9.835293063553685e-05,-1.472893686349508e-06,0.006025843210527657,0.006025843210527657,0.0,3.62000292751285e-13,3.6198927922032415e-13,-1.101353096087391e-17
2,1,4,0.8849999999999922,312.7553356913859,312.7557251899651,0.00038949857923853415,1,26540.89649234712,26540.89649234712,334357.82981058955,-4596362.779209613,-4569011.130050171,27351.649159441702,24594790.350086063,24573541.79679635,-21248.553289711475,1.9545500990260374e-21,1.954565435224208e-21,1.533619817077534e-26,3.26881464401124e-08,3.268814942296215e-08,2.982849750987619e-15,1.3953255019836375e-07,1.3951544214500413e-07,-1.7108053359622135e-11,1.358881001580307e-07,1.3588765049217438e-07,-4.496658563196939e-13,1.3953255019836375e-07,1.3951544214500413e-07,-1.7108053359622135e-11,1.358881001580307e-07,1.3588765049217438e-07,-4.496658563196939e-13,-1.6399994240292897e-08,-1.6399994240292897e-08,0.0,1.62881521998195e-08,1.6288155182669252e-08,2.982849750987619e-15,9.915154358708378e-05,9.767784699454829e-05,-1.4736965925354895e-06,0.006037498613255949,0.006037498613255949,0.0,3.620047969638443e-13,3.619938401862165e-13,-1.0956777627800075e-17
3,1,4,0.8924999999999921,314.30708544452847,314.3074749431077,0.00038949857923853415,1,16439.447298377752,16439.447298377752,323057.76044116914,-4564126.261764551,-4541478.084412573,22648.177351977676,24609595.97939998,24587801.91437975,-21794.065020229667,1.9545685430155593e-21,1.9545838048141216e-21,1.5261798562270555e-26,3.268795504697311e-08,3.268795798086923e-08,2.933896123693212e-15,1.395307621926522e-07,1.3951376136452774e-07,-1.700082812446476e-11,1.358868297352787e-07,1.3588638730567585e-07,-4.424296028440351e-13,1.395307621926522e-07,1.3951376136452774e-07,-1.700082812446476e-11,1.358868297352787e-07,1.3588638730567585e-07,-4.424296028440351e-13,-1.6399994240292897e-08,-1.6399994240292897e-08,0.0,1.6287960806680212e-08,1.628796374057634e-08,2.9338961270019346e-15,9.847865165379943e-05,9.701103664050414e-05,-1.467615013295287e-06,0.006049154015984243,0.006049154015984243,0.0,3.620093721165034e-13,3.6199847017810743e-13,-1.0901938395964832e-17
4,1,4,0.8999999999999919,317.8355158385849,317.83590533716415,0.00038949857923853415,1,5785.085223421454,5785.085223421454,308026.68313117325,-4536675.194245406,-4515230.356756014,21444.83748939261,24623887.724749524,24601971.69146838,-21916.033281143755,1.954586913522226e-21,1.954602101553745e-21,1.5188031519061313e-26,3.268776365869347e-08,3.2687766475148816e-08,2.8164553430460934e-15,1.3952907737270664e-07,1.395122092995478e-07,-1.6868073158834893e-11,1.3588556690171175e-07,1.3588514201888064e-07,-4.2488283110351423e-13,1.3952907737270664e-07,1.395122092995478e-07,-1.6868073158834893e-11,1.3588556690171175e-07,1.3588514201888064e-07,-4.2488283110351423e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6287769418400572e-08,1.6287772234855922e-08,2.8164553496635383e-15,9.78116955689945e-05,9.635005417474307e-05,-1.4616413942514228e-06,0.0060608094187125355,0.0060608094187125355,0.0,3.620140007345016e-13,3.620031512491068e-13,-1.0849485394808182e-17
5,1,4,0.9049999999999918,318.2541273094275,318.2545168080067,0.00038949857923853415,1,92651.27259537578,92651.27259537578,421487.53337839246,-4511499.629435498,-4459837.134692245,51662.494743253104,24626179.322736777,24611085.622002523,-15093.700734253973,1.954604173356886e-21,1.9546191503796626e-21,1.4977022776475827e-26,3.268763691368681e-08,3.26876387486679e-08,1.834981094793019e-15,1.39522420357254e-07,1.39506334369075e-07,-1.6085988179005946e-11,1.35884599736501e-07,1.3588432185536926e-07,-2.778811317398178e-13,1.39522420357254e-07,1.39506334369075e-07,-1.6085988179005946e-11,1.35884599736501e-07,1.3588432185536926e-07,-2.778811317398178e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.628764267339391e-08,1.6287644508375006e-08,1.834981094793019e-15,9.688384731620925e-05,9.543906849152073e-05,-1.4447788246885196e-06,0.006068579687198064,0.006068579687198064,0.0,3.6201349641694236e-13,3.620027477381116e-13,-1.0748678830746292e-17
6,1,4,0.9149999999999916,321.1808986108509,321.1812881094301,0.00038949857923853415,1,7576.473141089082,7576.473141089082,283565.12949724495,-4454734.751124573,-4460006.888739103,-5272.137614530511,24659089.978363927,24632152.80249136,-26937.17587256804,1.9546233023828577e-21,1.9546384232053232e-21,1.5120822465548077e-26,3.268737979339294e-08,3.268738294937659e-08,3.1559836493658676e-15,1.3952672969104204e-07,1.3950972685404503e-07,-1.700283699700979e-11,1.358832213662755e-07,1.358827454044253e-07,-4.759618501980724e-13,1.3952672969104204e-07,1.3950972685404503e-07,-1.700283699700979e-11,1.358832213662755e-07,1.358827454044253e-07,-4.759618501980724e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6287385553100046e-08,1.6287388709083696e-08,3.1559836493658676e-15,9.650608239741842e-05,9.505075519100625e-05,-1.4553272064121714e-06,0.006084120224169122,0.006084120224169122,0.0,3.6202344032685336e-13,3.6201268455831585e-13,-1.0755768537514373e-17
7,1,4,0.9199999999999915,321.693190986354,321.69358048493325,0.00038949857923853415,1,68886.34181313217,68886.34181313217,384186.2466328144,-4456361.649990763,-4409533.622580876,46828.02740988694,24656347.971941844,24639936.992044747,-16410.979897096753,1.954640496667185e-21,1.9546553605953883e-21,1.4863928203177113e-26,3.2687253458577415e-08,3.26872551969862e-08,1.7384087839814125e-15,1.3951993375984818e-07,1.3950397804499725e-07,-1.595571485092846e-11,1.3588220345116773e-07,1.3588193998812422e-07,-2.6346304350545757e-13,1.3951993375984818e-07,1.3950397804499725e-07,-1.595571485092846e-11,1.3588220345116773e-07,1.3588193998812422e-07,-2.6346304350545757e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6287259218284522e-08,1.6287260956693302e-08,1.73840878067269e-15,9.55843465001438e-05,9.414873645019473e-05,-1.4356100499490765e-06,0.0060918904926546506,0.0060918904926546506,0.0,3.620230310103237e-13,3.620123735860139e-13,-1.065742430979614e-17
8,1,4,0.9274999999999913,322.31374312615975,322.314132624739,0.00038949857923853415,1,70188.94543281198,70188.94543281198,370648.41752411425,-4405083.769627604,-4381818.42972999,23265.339897613972,24676082.18018975,24655287.919903226,-20794.260286524892,1.9546584749550295e-21,1.954673343054762e-21,1.4868099732453944e-26,3.268706102206812e-08,3.268706318489584e-08,2.162827718274303e-15,1.395192718216741e-07,1.3950308369562174e-07,-1.6188126052358143e-11,1.3588112075015502e-07,1.3588079349198296e-07,-3.2725817206395323e-13,1.395192718216741e-07,1.3950308369562174e-07,-1.6188126052358143e-11,1.3588112075015502e-07,1.3588079349198296e-07,-3.2725817206395323e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6287066781775223e-08,1.628706894460295e-08,2.1628277282004703e-15,9.494886196981245e-05,9.351380223843186e-05,-1.4350597313805835e-06,0.006103545895382944,0.006103545895382944,0.0,3.620278828647159e-13,3.6201726618560545e-13,-1.0616679110443336e-17
9,1,4,0.9349999999999913,323.01546269043405,323.0158521890133,0.00038949857923853415,1,57169.458094641566,57169.458094641566,348462.2346094698,-4377450.496387139,-4358036.650606135,19413.845781004056,24691415.478412956,24669581.320703704,-21834.15770925209,1.9546764584714257e-21,1.954691280893372e-21,1.4822421946406302e-26,3.268686906853274e-08,3.26868712329137e-08,2.1643809583238856e-15,1.3951837470864878e-07,1.3950219936995552e-07,-1.617533869326201e-11,1.3587997433231194e-07,1.358796468414423e-07,-3.274908696434372e-13,1.3951837470864878e-07,1.3950219936995552e-07,-1.617533869326201e-11,1.3587997433231194e-07,1.358796468414423e-07,-3.274908696434372e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6286874828239846e-08,1.6286876992620807e-08,2.164380961632608e-15,9.431377142299358e-05,9.288237381088749e-05,-1.431397612106089e-06,0.006115201298111237,0.006115201298111237,0.0,3.620327779811328e-13,3.6202220195353036e-13,-1.057602760242155e-17
10,1,4,0.9424999999999912,323.9569904850637,323.95737998364297,0.00038949857923853415,1,35186.66197155416,35186.66197155416,322743.41584149003,-4353707.375069416,-4335942.94174768,17764.43332173582,24705703.328444175,24683286.052411765,-22417.276032410562,1.9546943981797877e-21,1.954709172906557e-21,1.4774726769430614e-26,3.2686677156201193e-08,3.268667928206734e-08,2.125866145219106e-15,1.3951748742817027e-07,1.3950135641398766e-07,-1.6131014182604208e-11,1.3587882787326583e-07,1.3587850613723308e-07,-3.2173603274681294e-13,1.3951748742817027e-07,1.3950135641398766e-07,-1.6131014182604208e-11,1.3587882787326583e-07,1.3587850613723308e-07,-3.2173603274681294e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6286682915908297e-08,1.6286685041774445e-08,2.1258661485278284e-15,9.368218400873651e-05,9.225460812622988e-05,-1.4275758825066376e-06,0.0061268567008395305,0.0061268567008395305,0.0,3.620377149139528e-13,3.62027178647913e-13,-1.0536266039815162e-17
