time_s,center_volume_m3,LEFT_r_n_m,LEFT_gamma_J_per_m2,LEFT_theta_negative_rad,LEFT_kappa1_negative_per_m,LEFT_L_f_negative_m,LEFT_delta_phi_f_negative_rad,LEFT_delta_phi_f_continuous_negative_rad,LEFT_theta_positive_rad,LEFT_kappa1_positive_per_m,LEFT_L_f_positive_m,LEFT_delta_phi_f_positive_rad,LEFT_delta_phi_f_continuous_positive_rad,LEFT_sigma_local_negative_Pa,LEFT_sigma_integral_negative_Pa,LEFT_sigma_integral_continuous_negative_Pa,LEFT_contact_negative_per_m,LEFT_line_3D_negative_per_m,LEFT_sigma_local_positive_Pa,LEFT_sigma_integral_positive_Pa,LEFT_sigma_integral_continuous_positive_Pa,LEFT_contact_positive_per_m,LEFT_line_3D_positive_per_m,LEFT_sigma_local_Pa,LEFT_sigma_integral_Pa,LEFT_sigma_integral_continuous_Pa,LEFT_G_fit_eV,LEFT_G_root_eV,LEFT_root_rate_per_s,LEFT_root_rate_per_model_time,LEFT_constant_state_mean_wait_s,LEFT_barrier_reduction_from_zero_eV,LEFT_z_TJ_m,LEFT_mu_GB_Pa,LEFT_mu_TJ_negative_Pa,LEFT_mu_TJ_positive_Pa,LEFT_transport_affinity_Pa,LEFT_one_b_transport_work_J,LEFT_work_is_transport_diagnostic_not_root_barrier,RIGHT_r_n_m,RIGHT_gamma_J_per_m2,RIGHT_theta_positive_rad,RIGHT_kappa1_positive_per_m,RIGHT_L_f_positive_m,RIGHT_delta_phi_f_positive_rad,RIGHT_delta_phi_f_continuous_positive_rad,RIGHT_theta_negative_rad,RIGHT_kappa1_negative_per_m,RIGHT_L_f_negative_m,RIGHT_delta_phi_f_negative_rad,RIGHT_delta_phi_f_continuous_negative_rad,RIGHT_sigma_local_positive_Pa,RIGHT_sigma_integral_positive_Pa,RIGHT_sigma_integral_continuous_positive_Pa,RIGHT_contact_positive_per_m,RIGHT_line_3D_positive_per_m,RIGHT_sigma_local_negative_Pa,RIGHT_sigma_integral_negative_Pa,RIGHT_sigma_integral_continuous_negative_Pa,RIGHT_contact_negative_per_m,RIGHT_line_3D_negative_per_m,RIGHT_sigma_local_Pa,RIGHT_sigma_integral_Pa,RIGHT_sigma_integral_continuous_Pa,RIGHT_G_fit_eV,RIGHT_G_root_eV,RIGHT_root_rate_per_s,RIGHT_root_rate_per_model_time,RIGHT_constant_state_mean_wait_s,RIGHT_barrier_reduction_from_zero_eV,RIGHT_z_TJ_m,RIGHT_mu_GB_Pa,RIGHT_mu_TJ_negative_Pa,RIGHT_mu_TJ_positive_Pa,RIGHT_transport_affinity_Pa,RIGHT_one_b_transport_work_J,RIGHT_work_is_transport_diagnostic_not_root_barrier,LEFT_hazard_sparse_quadrature,RIGHT_hazard_sparse_quadrature,cluster_area_weighted_local_stress_diagnostic_Pa,center_two_contact_local_stress_diagnostic_Pa
0.0,1.4381714893867825e-21,1.150289467011356e-07,1.0,2.8115154849187944,7148416.358029198,1.9758358910653636e-07,1.4920276007021092,1.6570211246043762,2.8117873636141852,8736800.624286765,3.417946986912842e-08,9.012086646472162e-05,-0.16485758455457167,18577595.537252285,18174637.778387528,17339580.956875376,8575337.29842716,17150674.59685432,16989793.500467617,25723957.428901292,30549886.73829706,8575531.374918127,17151062.749836255,17783694.518859953,21949297.60364441,23944733.84758622,5.09480300617906,6.075153734458075,0.053899371368761356,0.0008397491428002687,23.191365098637622,0.26984859853657284,-1.7011870189681142e-08,163485946.48813722,25590071.803387884,28070092.9903176,136655864.09128448,1.420144185730431e-15,True,1.150289467011356e-07,1.0,2.8115154849187944,7148416.358029198,1.975835891065363e-07,1.4920276007021092,1.6570211246043762,2.8117873636141857,8736800.624286957,3.4179469869128416e-08,9.012086646472162e-05,-0.1648575845545715,18577595.537252285,18174637.778387524,17339580.956875373,8575337.29842716,17150674.59685432,16989793.500467427,25723957.428901292,30549886.738297056,8575531.374918127,17151062.749836255,17783694.518859856,21949297.60364441,23944733.847586215,5.094803006179061,6.075153734458076,0.053899371368760975,0.0008397491428002627,23.191365098637785,0.26984859853657195,1.7011870189681142e-08,163485946.48813722,28070092.990327053,25590071.803388663,136655864.09127936,1.4201441857303778e-15,True,0.0,0.0,17783694.518859904,16989793.500467524
1.7391295245039693e-05,1.4381709448961412e-21,1.1505209821420313e-07,1.0,2.8224159046163604,6371659.3397985315,1.9758039452789838e-07,1.4926925213660889,1.6515707523028127,2.8224605543468244,7975703.637373571,3.417328963968882e-08,0.0014202870999844462,-0.1588559060714921,19372141.803362966,18188939.614856772,17384820.20150936,8581267.0477205,17162534.095441,17768190.00577105,25702332.32098455,30392433.708980042,8581297.881048206,17162595.762096412,18570165.904567007,21945635.96792066,23888626.9552447,5.089687009223624,6.0700377375026395,0.05568770039945765,0.0008676112074669898,22.446608336015505,0.27496459549200836,-1.7011870189681142e-08,163484470.8913401,26358674.489060495,28866995.090191394,135871636.10171416,1.412562826591848e-15,True,1.1505209821420313e-07,1.0,2.8224159046163604,6371659.3397985315,1.9758039452789838e-07,1.4926925213660889,1.6515707523028127,2.8224605543468244,7975703.637373571,3.417328963968883e-08,0.0014202870999844462,-0.1588559060714921,19372141.803362966,18188939.614856772,17384820.20150936,8581267.0477205,17162534.095441,17768190.00577105,25702332.32098455,30392433.708980042,8581297.881048206,17162595.762096412,18570165.904567007,21945635.96792066,23888626.9552447,5.089687009223624,6.0700377375026395,0.05568770039945765,0.0008676112074669898,22.446608336015505,0.27496459549200836,1.7011870189681142e-08,163484470.8913401,28866995.090200048,26358674.489053626,135871636.10171327,1.4125628265918388e-15,True,9.529305600802253e-07,9.529305600802221e-07,18570165.904567007,17768190.00577105
3.4782590490079386e-05,1.438170510265175e-21,1.1506073124392872e-07,1.0,2.828077959085705,5967013.542650648,1.975791186246194e-07,1.492818452890262,1.6487395688033042,2.828075279582001,7573201.706048399,3.4170821974281146e-08,0.0016724626780040186,-0.1559224556648943,19786482.767592773,18197948.62240062,17408790.75491728,8584498.77008114,17168997.54016228,18180289.15078522,25704546.682202324,30316519.975133732,8584496.952277873,17168993.904555745,18983385.959188998,21951247.65230147,23862655.365025505,5.0870505412177955,6.067401269496811,0.056630715431438876,0.0008823033280732975,22.072827271859875,0.277601063497837,-1.7011870189681142e-08,163483322.25418252,25813480.843566522,28332259.037657365,136410452.31357056,1.418377357991571e-15,True,1.1506073124392872e-07,1.0,2.8280779590857055,5967013.5426506,1.9757911862461944e-07,1.492818452890262,1.6487395688033042,2.8280752795820017,7573201.706048211,3.4170821974281146e-08,0.0016724626780040186,-0.15592245566489382,19786482.76759282,18197948.62240062,17408790.75491728,8584498.77008114,17168997.54016228,18180289.15078541,25704546.682202324,30316519.975133717,8584496.952277873,17168993.904555745,18983385.959189117,21951247.65230147,23862655.365025498,5.0870505412177955,6.067401269496811,0.056630715431438876,0.0008823033280732975,22.072827271859875,0.277601063497837,1.7011870189681142e-08,163483322.25418252,28332259.03766445,25813480.843566615,136410452.31356698,1.4183773579915342e-15,True,1.929611925665356e-06,1.929611925665353e-06,18983385.959189057,18180289.150785312
5.217388573511908e-05,1.4381701188104714e-21,1.150662635811343e-07,1.0,2.832262291085153,5668576.071436788,1.9757827867963436e-07,1.4929017444554584,1.64664725890004,2.8322520205277306,7273862.743541365,3.416920654600099e-08,0.0018393336154779343,-0.15375064972329225,20092141.292474266,18204715.993557274,17426566.110523447,8586905.787970351,17173811.575940702,18486833.994887773,25706866.58545202,30260381.257480007,8586898.912809713,17173797.825619426,19289487.64368102,21955791.289504647,23843473.68400173,5.085119468430557,6.0654701967095725,0.05733114611125362,0.0008932159982590268,21.803157354892573,0.27953213628507534,-1.7011870189681142e-08,163482237.82444286,25304424.454550914,27823215.73857079,136918417.72788203,1.4237960211132556e-15,True,1.150662635811343e-07,1.0,2.832262291085153,5668576.071436788,1.9757827867963436e-07,1.4929017444554584,1.64664725890004,2.8322520205277275,7273862.743541745,3.416920654600099e-08,0.0018393336154779343,-0.15375064972329394,20092141.292474266,18204715.993557274,17426566.110523447,8586905.787970351,17173811.575940702,18486833.99488739,25706866.585452016,30260381.25748005,8586898.912809711,17173797.825619422,19289487.643680826,21955791.289504647,23843473.68400175,5.085119468430557,6.0654701967095725,0.05733114611125362,0.0008932159982590268,21.803157354892573,0.27953213628507534,1.7011870189681142e-08,163482237.82444286,27823215.738575146,25304424.454548273,136918417.72788116,1.4237960211132467e-15,True,2.920584116047006e-06,2.920584116047003e-06,19289487.643680923,18486833.994887583
6.956518098015877e-05,1.4381697541464295e-21,1.1507037756402075e-07,1.0,2.8356315378498715,5429982.8151797755,1.9757764370264697e-07,1.4929657009874502,1.6449625026640533,2.8356336831399407,7032872.139201336,3.416799028214577e-08,0.0019675123866063145,-0.15199572903162312,20336542.815497387,18210176.273487978,17440874.651967697,8588841.876892388,17177683.753784776,18733657.75288445,25708946.394480005,30215013.04185557,8588843.297361929,17177686.594723858,19535100.28419092,21959561.33398399,23827943.84691163,5.083583155132521,6.063933883411536,0.05789442913438899,0.0009019919157478534,21.59102384615287,0.2810684495831115,-1.7011870189681142e-08,163481180.1954684,24877198.424050655,27391295.56133015,137346933.20277798,1.4283542261947506e-15,True,1.1507037756402075e-07,1.0,2.8356315378498707,5429982.815180006,1.9757764370264697e-07,1.4929657009873956,1.6449625026640542,2.8356336831399407,7032872.139201336,3.416799028214578e-08,0.0019675123866063145,-0.15199572903162312,20336542.815497156,18210176.273488253,17440874.65196769,8588841.876892388,17177683.753784776,18733657.75288445,25708946.394480005,30215013.041855566,8588843.297361929,17177686.594723858,19535100.284190804,21959561.33398413,23827943.846911628,5.083583155132523,6.063933883411538,0.057894429134388165,0.0009019919157478406,21.591023846153174,0.2810684495831097,1.7011870189681142e-08,163481180.1954684,27391295.56132756,24877198.424069602,137346933.20276982,1.4283542261946658e-15,True,3.92254511548526e-06,3.9225451154852495e-06,19535100.28419086,18733657.75288445
8.695647622519846e-05,1.4381694089631347e-21,1.1507365202954129e-07,1.0,2.8384394125150427,5233372.764846097,1.9757713200837554e-07,1.4930181018587398,1.6435584429444925,2.8384662239343803,6832973.992379135,3.416701306120352e-08,0.002072558903247075,-0.15052693537608283,20537971.70351134,18214710.32410106,17452778.31529262,8590448.156119145,17180896.31223829,18938423.24560652,25710737.59239315,30177018.973384157,8590465.745995218,17180931.491990436,19738197.474558927,21962723.958247103,23814898.644338388,5.082321449727491,6.0626721780065065,0.05836111185934652,0.0009092628060809068,21.418371929112123,0.2823301549881414,-1.7011870189681142e-08,163480136.99849138,24515596.480188087,27022252.98813955,137711212.26432756,1.432224093361177e-15,True,1.1507365202954129e-07,1.0,2.8384394125150427,5233372.764846097,1.9757713200837557e-07,1.4930181018587398,1.6435584429444925,2.8384662239343803,6832973.992379135,3.416701306120352e-08,0.002072558903247075,-0.15052693537608283,20537971.70351134,18214710.32410106,17452778.31529262,8590448.156119145,17180896.31223829,18938423.24560652,25710737.59239315,30177018.973384157,8590465.745995218,17180931.491990436,19738197.474558927,21962723.958247103,23814898.644338388,5.082321449727491,6.0626721780065065,0.05836111185934652,0.0009092628060809068,21.418371929112123,0.2823301549881414,1.7011870189681142e-08,163480136.99849138,27022252.988136977,24515596.48018869,137711212.26432854,1.4322240933611875e-15,True,4.933462334132194e-06,4.933462334132177e-06,19738197.474558927,18938423.24560652
0.00010434777147023815,1.4381690786309786e-21,1.1507638561905305e-07,1.0,2.840838676019281,5067641.365876598,1.9757670110966504e-07,1.493062951940892,1.6423586986491785,2.840897984962388,6663402.517894451,3.416619175758771e-08,0.0021624841538852423,-0.14926609223673276,20707794.641855557,18218558.382206023,17462924.008973826,8591812.002577385,17183624.00515477,19112149.29450903,25712258.713505358,30144376.213313878,8591850.604134494,17183701.20826899,19909971.968182296,21965408.54785569,23803650.11114385,5.081260359624577,6.061611087903592,0.05875649111257466,0.000915422792376624,21.274245216669918,0.28339124509105584,-1.7011870189681142e-08,163479101.856253,24203518.599514157,26701161.854844503,138026761.62907368,1.4355740718009821e-15,True,1.1507638561905306e-07,1.0,2.8408386760192776,5067641.36587675,1.9757670110966506e-07,1.493062951940892,1.6423586986491803,2.8408979849623823,6663402.517894731,3.416619175758771e-08,0.0021624841538852423,-0.14926609223679002,20707794.641855393,18218558.38220601,17462924.008973807,8591812.002577381,17183624.005154762,19112149.29450874,25712258.71350535,30144376.213315543,8591850.60413449,17183701.20826898,19909971.968182065,21965408.547855683,23803650.111144677,5.081260359624578,6.061611087903593,0.058756491112574236,0.0009154227923766174,21.27424521667007,0.28339124509105496,1.7011870189681142e-08,163479101.85625297,26701161.854846504,24203518.599515848,138026761.6290718,1.4355740718009628e-15,True,5.951875739970203e-06,5.951875739970183e-06,19909971.96818218,19112149.294508886
0.00012173906671527784,1.4381687605619336e-21,1.1507872521574452e-07,1.0,2.842913965552772,4926497.636408358,1.9757632961748402e-07,1.4931022271345675,1.6413209506934605,2.8430111814503616,6518053.566502856,3.4165484545807825e-08,0.0022412409192347537,-0.14817011561009846,20852452.92517687,18221859.942353282,17471675.323346287,8592983.52052841,17185967.04105682,19261085.49974486,25713539.50139361,30115975.42551074,8593046.355415905,17186092.71083181,20056769.212460864,21967699.721873447,23793825.374428514,5.080357878640304,6.060708606919319,0.05909488474600558,0.0009206949459544183,21.15242301212021,0.28429372607532866,-1.7011870189681142e-08,163478071.87570935,23931283.155650705,26418962.30529839,138302949.14523482,1.4385051037418882e-15,True,1.1507872521574452e-07,1.0,2.8429139655527713,4926497.6364085125,1.9757632961748408e-07,1.4931022271345675,1.6413209506934614,2.8430111814503616,6518053.566502856,3.4165484545807825e-08,0.0022412409192347537,-0.14817011561009846,20852452.925176717,18221859.942353286,17471675.323346283,8592983.52052841,17185967.04105682,19261085.49974486,25713539.50139361,30115975.42551074,8593046.355415905,17186092.71083181,20056769.212460786,21967699.721873447,23793825.37442851,5.080357878640305,6.06070860691932,0.059094884746005154,0.0009206949459544117,21.152423012120362,0.28429372607532777,1.7011870189681142e-08,163478071.87570935,26418962.305300087,23931283.15564706,138302949.14523578,1.438505103741898e-15,True,6.976669776265559e-06,6.976669776265531e-06,20056769.212460823,19261085.49974486
0.00013913036196031754,1.4381684525817843e-21,1.1508077721917456e-07,1.0,2.844735838315916,4804573.555954034,1.9757600210138543e-07,1.4931373658899503,1.6404099198548325,2.844874351218808,6391718.75735205,3.4164861352751696e-08,0.0023117073441128793,-0.1472032975134361,20977439.82147565,18224732.38171568,17479335.408406597,8594004.459143229,17188008.918286458,19390561.551263392,25714617.006246246,30090897.164793026,8594093.436205147,17188186.872410294,20184000.686369523,21969674.693980962,23785116.28659981,5.0795788671606665,6.059929595439682,0.05938856586533838,0.0009252704811035959,21.04782262017126,0.285072737554966,-1.7011870189681142e-08,163477044.83382037,23690721.12917492,26167874.117800944,138547747.21033245,1.4411026690641157e-15,True,1.1508077721917456e-07,1.0,2.8447358383159185,4804573.55595401,1.9757600210138545e-07,1.4931373658899503,1.6404099198548308,2.8448743512188126,6391718.757351768,3.416486135275169e-08,0.0023117073441128793,-0.14720329751343394,20977439.82147568,18224732.38171569,17479335.40840661,8594004.45914323,17188008.91828646,19390561.551263683,25714617.006246254,30090897.164792974,8594093.43620515,17188186.8724103,20184000.68636968,21969674.69398097,23785116.286599793,5.0795788671606665,6.059929595439682,0.05938856586533838,0.0009252704811035959,21.04782262017126,0.285072737554966,1.7011870189681142e-08,163477044.83382037,26167874.117805768,23690721.12917462,138547747.2103302,1.4411026690640923e-15,True,8.006960111882041e-06,8.006960111882009e-06,20184000.6863696,19390561.551263537
0.00015652165720535726,1.4381681532520448e-21,1.1508260492950289e-07,1.0,2.8463504984976282,4698315.95525758,1.975757092134304e-07,1.493169236974377,1.639602503513647,2.846532392364685,6280950.419325651,3.416430398413907e-08,0.0023756220135713177,-0.14634231960574123,21086391.874596946,18227254.320418373,17486104.170320284,8594902.60995151,17189805.21990302,19504106.017983895,25715521.228435565,30068542.489701577,8595018.812436515,17190037.62487303,20295248.94629042,21971387.774426967,23777323.33001093,5.0789001156854505,6.059250843964466,0.059645659945001414,0.0009292759922539761,20.957098993499457,0.285751489030182,-1.7011870189681142e-08,163476019.4969342,23476463.067599237,25942710.660179324,138766432.63304493,1.443423170504746e-15,True,1.150826049295029e-07,1.0,2.846350498497623,4698315.955257522,1.9757570921343038e-07,1.4931692369743228,1.6396025035136497,2.8465323923647317,6280950.419323015,3.416430398413907e-08,0.0023756220135713177,-0.1463423196057724,21086391.874596994,18227254.320418634,17486104.170320258,8594902.609951505,17189805.21990301,19504106.017986614,25715521.22843565,30068542.489702575,8595018.812436543,17190037.624873087,20295248.946291804,21971387.774427142,23777323.330011416,5.0789001156854425,6.059250843964458,0.059645659945004384,0.0009292759922540224,20.957098993498413,0.28575148903019,1.7011870189681142e-08,163476019.49693418,25942710.660181683,23476463.06759754,138766432.63304457,1.4434231705047425e-15,True,9.042039794548215e-06,9.042039794548208e-06,20295248.94629111,19504106.017985255
