system,case_id,basis,sigma0_MPa,stress_MPa,Delta_sigma_MPa,A_Gamma,loading_coordinate,classification
particle cluster,Ro100_q0.65_L8W_r1.60_th140_km+5,median survival,22.106517907285806,22.141827882816987,0.03530997553118098,0.999395492745609,0.00358478890700625,low-stress stochastic nucleation
particle cluster,Ro100_q0.65_L8W_r1.60_th160_km-10,median survival,38.40791595227522,38.44876442011355,0.040848467838330293,0.9999394639502625,0.002137127545472051,high-stress stochastic nucleation
particle cluster,Ro100_q0.65_L8W_r1.60_th160_km-5,median survival,33.40791595227522,33.44520068308576,0.03728473081054062,0.9998832386572575,0.0022318664715274077,high-stress stochastic nucleation
particle cluster,Ro100_q0.65_L8W_r1.60_th170_km-20,median survival,48.736385521877274,48.77935070878427,0.04296518690699713,1.000075559623522,0.00169282018167942,high-stress stochastic nucleation
particle cluster,Ro100_q0.75_L12W_r1.40_th140_km+5,median survival,21.848360593883093,21.873526793646803,0.02516619976371004,0.9995602593624334,0.002573460960426648,low-stress stochastic nucleation
particle cluster,Ro100_q0.75_L12W_r1.40_th160_km-10,median survival,38.137364371777366,38.166546141689494,0.029181769912128175,0.9999542612208594,0.0015311881445577824,high-stress stochastic nucleation
particle cluster,Ro120_q0.55_L8W_r1.60_th120_km-10,median survival,34.60299442569427,34.613801157862774,0.01080673216850414,0.9996608206380224,0.00119353927705292,high-stress stochastic nucleation
particle cluster,Ro150_q0.65_L12W_r1.60_th140_km+5,median survival,13.071011938190537,13.0749649681991,0.003953030008561953,0.999848346825064,0.0006608485264481693,low-stress stochastic nucleation
particle cluster,Ro150_q0.65_L12W_r1.60_th160_km-5,median survival,23.938610634850146,23.943589161174568,0.00497852632442175,0.9999532552185567,0.0004175016464363745,low-stress stochastic nucleation
particle cluster,Ro150_q0.65_L12W_r1.60_th170_km-10,median survival,29.157590347918173,29.162824801400426,0.005234453482252377,0.9999800876185233,0.0003448116851722715,low-stress stochastic nucleation
bicrystal,cycle 1,median survival,55.706588635632286,56.82348856693261,1.116899931300324,0.9541412475326605,0.13069695434234177,high-stress stochastic nucleation
bicrystal,cycle 2,observed early root (median censored),53.1115533472986,55.879087434938846,2.767534087640243,1.0280683900320977,0.05955055098569351,mixed/intermediate
