design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro80_q0.55_L10W_r0.80_th150_k0.75,80.0,0.55,44.00000000000001,40.0,10.0,0.8,35.2,150.0,150.0,17.045454545454543,9.375,0.75,0.75,69.11299655872742,90.34374740057942,90.34374740057942,21.230750841852,-5.261241715841894,-2.655756912989948,29.148486615772047,71.70393631484325,10.000831494529558,9.554350706284188,0.0,0.0,0.0,nan,1.079437439217848,6.476624635307088,25.906498541228355,0.43636363636363634,0.23350864012021036,0.03350864012021035
Ro80_q0.55_L12W_r0.80_th150_k0.75,80.0,0.55,44.00000000000001,48.00000000000001,12.0,0.8,35.2,150.0,150.0,17.045454545454543,9.375,0.75,0.75,69.11299655872742,85.44143625601097,85.44143625601097,16.328439697283557,-3.9614992483144285,-1.884722755161944,22.175033359544127,59.75290825040582,10.000831494529558,9.651811648933611,0.0,0.0,0.0,nan,1.1530421383624738,6.918252830174843,27.673011320699374,0.5236363636363638,0.28021036814425243,0.08021036814425242
Ro80_q0.55_L16W_r0.80_th150_k0.75,80.0,0.55,44.00000000000001,64.0,16.0,0.8,35.2,150.0,150.0,17.045454545454543,9.375,0.75,0.75,69.11299655872742,80.3043923649669,80.3043923649669,11.191395806239484,-2.657908777434097,-1.1871172669558137,15.036554754320743,44.81440793867602,10.000831494529558,9.758990184980066,0.0,0.0,0.0,nan,1.23891380144359,7.433482808661541,29.733931234646167,0.6981818181818182,0.3736138241923366,0.17361382419233656
Ro80_q0.55_L20W_r0.80_th150_k0.75,80.0,0.55,44.00000000000001,80.0,20.0,0.8,35.2,150.0,150.0,17.045454545454543,9.375,0.75,0.75,69.11299655872742,77.63325895900795,77.63325895900795,8.52026240028053,-2.0019378514900263,-0.8648209242676985,11.38708313442682,35.85142656567059,10.000831494529558,9.816170778384695,0.0,0.0,0.0,nan,1.287691014237557,7.726146085425343,30.904584341701373,0.8727272727272727,0.4670172802404207,0.2670172802404207
Ro100_q0.85_L12W_r0.80_th170_k0.50,100.00000000000001,0.85,85.0,48.00000000000001,12.0,0.8,68.00000000000001,170.0,170.0,5.88235294117647,5.0,0.5,0.5,38.50858962169465,74.04698229894149,74.04698229894149,35.53839267724684,-5.455781776916598,-0.7076830243642702,41.72311775321477,70.23401745480861,10.012773293149765,9.263801712899824,0.0,0.0,0.0,nan,1.4506909539344213,8.704145723606528,34.81658289442611,0.2710588235294118,0.23729371056381035,0.03729371056381034
Ro100_q0.85_L16W_r0.80_th170_k0.50,100.00000000000001,0.85,85.0,64.0,16.0,0.8,68.00000000000001,170.0,170.0,5.88235294117647,5.0,0.5,0.5,38.50858962169465,57.225216941891354,57.225216941891354,18.716627320196707,-2.791835644586529,-0.25983107165351244,21.771367062678394,52.676160728195015,10.012773293149765,9.73682435410574,0.0,0.0,0.0,nan,1.8934948184018923,11.360968910411355,45.44387564164542,0.36141176470588243,0.3163916140850805,0.11639161408508047
Ro100_q0.85_L16W_r1.00_th120_k0.00,100.00000000000001,0.85,85.0,64.0,16.0,1.0,85.0,120.0,120.0,0.0,0.0,0.0,0.0,30.565602486509597,34.23416069617088,34.23416069617088,3.6685582096612848,-1.4336763897769222,-2.135379612444856,7.237439079398765,15.78786572736675,10.01041440248894,11.193659598347448,0.0,0.0,0.0,nan,2.0,17.07729822259169,68.30919289036676,0.5647058823529411,0.5196857317321392,0.31968573173213916
Ro100_q0.85_L20W_r0.80_th170_k0.50,100.00000000000001,0.85,85.0,80.0,20.0,0.8,68.00000000000001,170.0,170.0,5.88235294117647,5.0,0.5,0.5,38.50858962169465,51.35545284636072,51.35545284636072,12.846863224666073,-1.899838904044472,-0.15552986340628408,14.903257194628047,42.141168811003816,10.012773293149765,9.868824271457779,0.0,0.0,0.0,nan,2.115139157929664,12.690834947577985,50.763339790311946,0.451764705882353,0.3954895176063506,0.19548951760635058
Ro100_q0.85_L20W_r1.00_th120_k0.00,100.00000000000001,0.85,85.0,80.0,20.0,1.0,85.0,120.0,120.0,0.0,0.0,0.0,0.0,30.565602486509597,33.41083349652618,33.41083349652618,2.845231010016583,-1.0327955667558841,-1.5351888797445827,5.413143690403658,12.6300180903338,10.01041440248894,10.877182911375382,0.0,0.0,0.0,nan,2.5,17.989435557200412,71.95774222880166,0.7058823529411764,0.6496071646651739,0.44960716466517386
Ro100_q0.85_L24W_r0.80_th170_k0.50,100.00000000000001,0.85,85.0,96.00000000000001,24.0,0.8,68.00000000000001,170.0,170.0,5.88235294117647,5.0,0.5,0.5,38.50858962169465,48.31646133758108,48.31646133758108,9.807871715886435,-1.4443788927911343,-0.11033731492754384,11.36305709061265,35.117749525043415,10.012773293149765,9.924695374338402,0.0,0.0,0.0,nan,2.2508089680829135,13.504853808497483,54.01941523398993,0.5421176470588236,0.4745874211276207,0.2745874211276207
