r_TJ_nm,r_TJ_over_W,maximum_convex_contact_stress_MPa,minimum_two_contact_wait_s
4.0,1.0,750.0,1.0840681689992084
4.5,1.125,666.6666666666666,1.277362145360186
5.0,1.25,600.0,1.4722968936641103
5.5,1.375,545.4545454545454,1.6672989127498832
6.0,1.5,499.99999999999994,1.8611629026599512
6.5,1.625,461.5384615384615,2.05297003603109
7.0,1.75,428.5714285714285,2.24202499307829
7.5,1.875,399.99999999999994,2.4278073488135
8.0,2.0,375.0,2.6099339045164336
8.5,2.125,352.9411764705882,2.7881293736666337
9.0,2.25,333.3333333333333,2.9622034661331536
9.5,2.375,315.78947368421046,3.132032893934781
10.0,2.5,300.0,3.297547181306048
10.5,2.625,285.71428571428567,3.4587174304553323
11.0,2.75,272.7272727272727,3.615547395391377
11.5,2.875,260.86956521739125,3.7680663670270373
12.0,3.0,249.99999999999997,3.9163234864425953
12.5,3.125,239.99999999999997,4.060383189282587
13.0,3.25,230.76923076923075,4.200321549805747
13.5,3.375,222.2222222222222,4.336223343278824
14.0,3.5,214.28571428571425,4.468179684014708
14.5,3.625,206.89655172413794,4.596286126224018
15.0,3.75,199.99999999999997,4.720641138077109
15.5,3.875,193.54838709677418,4.841344877522342
16.0,4.0,187.5,4.958498212660999
16.5,4.125,181.81818181818178,5.072201940719051
17.0,4.25,176.4705882352941,5.18255616856369
17.5,4.375,171.4285714285714,5.289659824798347
18.0,4.5,166.66666666666666,5.393610279127931
18.5,4.625,162.16216216216216,5.494503049223918
19.0,4.75,157.89473684210523,5.592431578969228
19.5,4.875,153.8461538461538,5.687487074908042
20.0,5.0,150.0,5.779758390114484
20.5,5.125,146.34146341463412,5.869331946629379
21.0,5.25,142.85714285714283,5.956291689195667
21.5,5.375,139.53488372093022,6.040719064310738
22.0,5.5,136.36363636363635,6.122693019670255
22.5,5.625,133.33333333333331,6.202290019943764
23.0,5.75,130.43478260869563,6.279584075535607
23.5,5.875,127.65957446808508,6.354646781569499
24.0,6.0,124.99999999999999,6.427547364822379
24.5,6.125,122.44897959183673,6.498352736730814
25.0,6.25,119.99999999999999,6.56712755092616
25.5,6.375,117.6470588235294,6.633934264029568
26.0,6.5,115.38461538461537,6.698833198665555
26.5,6.625,113.2075471698113,6.761882607841674
27.0,6.75,111.1111111111111,6.823138740000954
27.5,6.875,109.09090909090908,6.882655904182596
28.0,7.0,107.14285714285712,6.940486534836688
28.5,7.125,105.26315789473684,6.996681255928854
29.0,7.25,103.44827586206897,7.051288944045421
29.5,7.375,101.69491525423727,7.1043567902734885
30.0,7.5,99.99999999999999,7.155930360680521
30.5,7.625,98.36065573770492,7.206053655262777
31.0,7.75,96.77419354838709,7.254769165266454
31.5,7.875,95.23809523809523,7.30211792881467
32.0,8.0,93.75,7.348139584799167
32.5,8.125,92.3076923076923,7.39287242501293
33.0,8.25,90.90909090909089,7.436353444518686
33.5,8.375,89.55223880597015,7.47861839025968
34.0,8.5,88.23529411764704,7.5197018079303195
34.5,8.625,86.95652173913042,7.559637087132989
35.0,8.75,85.7142857142857,7.598456504853339
35.5,8.875,84.50704225352112,7.63619126729249
36.0,9.0,83.33333333333333,7.672871550096943
36.5,9.125,82.1917808219178,7.708526537032521
37.0,9.25,81.08108108108108,7.743184457147648
37.5,9.375,79.99999999999999,7.7768726204746415
38.0,9.5,78.94736842105262,7.809617452318334
38.5,9.625,77.92207792207792,7.841444526180615
39.0,9.75,76.9230769230769,7.872378595370034
39.5,9.875,75.94936708860759,7.902443623345562
40.0,10.0,75.0,7.931662812841525
40.5,10.125,74.07407407407406,7.960058633822151
41.0,10.25,73.17073170731706,7.987652850310177
41.5,10.375,72.28915662650601,8.014466546135559
42.0,10.5,71.42857142857142,8.040520149647616
42.5,10.625,70.58823529411764,8.065833457432198
43.0,10.75,69.76744186046511,8.090425657075818
43.5,10.875,68.9655172413793,8.11431534901552
44.0,11.0,68.18181818181817,8.137520567513224
44.5,11.125,67.41573033707864,8.160058800790061
45.0,11.25,66.66666666666666,8.181947010358247
45.5,11.375,65.93406593406593,8.203201649581622
46.0,11.5,65.21739130434781,8.22383868150011
46.5,11.625,64.51612903225805,8.243873595947413
47.0,11.75,63.82978723404254,8.263321425993377
47.5,11.875,63.1578947368421,8.28219676373868
48.0,12.0,62.49999999999999,8.300513775490122
48.5,12.125,61.85567010309277,8.318286216342578
