design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro80_q0.45_L8W_r1.00_th120_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,120.0,120.0,0.0,0.0,0.0,0.0,72.16878364870321,79.33377045773622,79.33377045773622,7.16498680903301,-2.6447422727461376,-3.932248219681193,13.741765667278328,31.57519250777066,9.258525459654495,9.789778352240525,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th120_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,120.0,120.0,6.944444444444443,3.125,0.25,0.25,67.134061426481,74.16816775378666,74.16816775378666,7.034106327305665,-2.775588657122502,-3.932248219681193,13.741765667278328,30.631067279341302,10.139298215592458,10.685903679889556,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th120_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,120.0,120.0,13.888888888888886,6.25,0.5,0.5,62.09933920425877,69.00256504983712,69.00256504983712,6.903225845578348,-2.9064350414988667,-3.932248219681193,13.741765667278328,29.686942050911448,11.153614525687837,11.711094195831116,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th120_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,120.0,120.0,20.833333333333332,9.375,0.75,0.75,57.06461698203654,63.83696234588756,63.83696234588756,6.7723453638510165,-3.037281425875236,-3.932248219681193,13.741765667278328,28.742816822481892,12.331556651361332,12.89263021599433,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th135_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,135.0,135.0,0.0,0.0,0.0,0.0,76.98996104260722,87.50489703075702,87.50489703075702,10.514935988149801,-1.7574164107142727,-2.536781037267885,14.809087953752666,43.64965539296454,8.518762339550012,8.585253584684114,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th135_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,135.0,135.0,6.944444444444443,3.125,0.25,0.25,71.95523882038499,82.0123730980066,82.0123730980066,10.057134277621614,-2.2152082447140367,-2.536781037267885,14.809087953752666,41.53257330230532,9.293498191022989,9.368653096483493,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th135_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,135.0,135.0,13.888888888888886,6.25,0.5,0.5,66.92051659816276,76.51984916525619,76.51984916525619,9.599332567093427,-2.673000078713806,-2.536781037267885,14.809087953752666,39.41549121164582,10.179422409415357,10.263335214805812,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th135_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,135.0,135.0,20.833333333333332,9.375,0.75,0.75,61.88579437594054,71.02732523250576,71.02732523250576,9.141530856565218,-3.130791912713563,-2.536781037267885,14.809087953752666,37.298409120987756,11.200011237453493,11.292280365263323,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th150_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,150.0,150.0,0.0,0.0,0.0,0.0,80.49381885742235,93.9741316589843,93.9741316589843,13.48031280156195,-0.8825655285020357,-1.2442065223327825,15.607303907875163,53.63035064877483,8.035286688644735,7.780874499182953,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th150_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,150.0,150.0,6.944444444444443,3.125,0.25,0.25,75.45909663520013,88.20662923971167,88.20662923971167,12.747532604511548,-1.6153715882095,-1.2442065223327825,15.607303907875163,50.613273918157255,8.743749612321443,8.492211492341205,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th150_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,150.0,150.0,13.888888888888886,6.25,0.5,0.5,70.4243744129779,82.43912682043904,82.43912682043904,12.014752407461145,-2.3481776479169674,-1.2442065223327825,15.607303907875163,47.596197187539076,9.550142562040156,9.304057565258997,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
